공사명,공사규모,면적_연면적,면적_대지면적,면적_건축면적,면적_조경면적,면적_건폐율,면적_용적률,높이_기준층층고,높이_최고높이,주차대수,현장위치,발주년월,공사기간,건축법상용도,연면적,*총공사비,㎡당 공사비,설계특이사항
정선경찰서 청사 신축사업,철근콘크리트조 지하 1층~지상 4층.,"6,926.13㎡","8,739㎡","2,163.4㎡","1,520.05㎡",24.76%,66.97%,4.2m,17.8m,102대,강원도 정선군,2018.02,착공일로부터 600 일,공공업무시설,"6,926.13 ㎡","14,492,711,159 원","2,092,469 원/㎡",
하남시 보건소 신축공사,철근콘크리트조 지하 1층~지상 3층.,"5,739.98㎡","6,193㎡","1,896.45㎡","1,599.49㎡",30.62%,66.97%,4.2m,16.9m,55대,경기도 하남시,2018.02,착공일로부터 480 일,공공업무시설(보건소),"5,739.98 ㎡","12,762,689,165 원","2,223,473 원/㎡",
강서경찰서 청사 신축공사,철근콘크리트조 지하 2층~지상 8층.,"20,183.39㎡","7,352.8㎡","2,933.52㎡","1,670.29㎡",39.9%,168.16%,3.9m,37.3m,205대,서울특별시 강서구,2018.02,착공일로부터 720 일,공공업무시설(청사),"20,183.39 ㎡","41,765,933,133 원","2,069,322 원/㎡",
보안수사대 통합청사 신축공사,철근콘크리트조 지하 2층~지상 4층.,"6,404㎡","2,952.8㎡","1,378.55㎡",847.34㎡,46.69%,134.42%,3.7m,15.95m,40대,서울특별시 종로구,2018.02,착공일로부터 690 일,업무시설 (공공업무시설),"6,404 ㎡","15,007,865,478 원","2,343,514 원/㎡",
국민건강보험공단 삼척지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 3층.,"1,894.09㎡","2,515.01㎡",751.65㎡,414.93㎡,29.89%,70.1%,3.9m,14.5m,29대,강원도 삼척시,2018.01,착공일로부터 300 일,업무시설,"1,894.09 ㎡","4,561,468,926 원","2,408,264 원/㎡",
구리지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 3층.,"1,938.73㎡","3,340㎡",683.04㎡,519.21㎡,20.45%,54.34%,4.2m,16.6m,60대,경기도 구리시,2018.01,착공일로부터 300 일,업무시설,"1,938.73 ㎡","5,085,249,690 원","2,622,980 원/㎡",
수원가정법원청사 신축공사,철근콘크리트조 지하 1층~지상 10층.,"18,079.07㎡","11,000㎡","3,398.89㎡",0㎡,30.9%,139.01%,4.5m,52m,174대,경기도 수원시 영통구,2018.01,착공일로부터 915 일,공공업무시설(공공청사),"18,079.07 ㎡","44,964,953,105 원","2,487,128 원/㎡",
중앙선거관리위원회 청사 증축공사,철근콘크리트조 지하 1층~지상 3층.,"6,030.4㎡","24,928.6㎡","2,034.91㎡","11,183.35㎡",8.16%,20.69%,4.5m,16.7m,41대,경기도 과천시,2018.01,착공일로부터 730 일,업무시설,"6,030.4 ㎡","11,784,106,063 원","1,954,117 원/㎡",
남양주가평지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 4층.,"3,456.82㎡","4,000㎡",897.01㎡,"1,141.76㎡",22.43%,81.83%,3.9m,18.5m,67대,경기도 남양주시,2017.12,착공일로부터 365 일,업무시설,"3,456.82 ㎡","7,819,370,959 원","2,262,013 원/㎡",
서울남부출입국관리사무소 신축공사,철근콘크리트조 지하 1층~지상 5층.,"9,917㎡","11,570㎡","2,169.39㎡","2,455.43㎡",18.75%,85.71%,3.9m,22.5m,143대,서울특별시 강서구,2017.11,착공일로부터 720 일,공공업무시설,"9,917 ㎡","20,290,240,492 원","2,046,006 원/㎡",
한국국토정보공사 사옥신축공사,철근콘크리트조 지하 1층~지상 6층.,"4,991.11㎡","4,679㎡","1,408.94㎡","1,157.62㎡",30.11%,106.67%,4.8m,28.5m,51대,충청남도 홍성군,2017.11,착공일로부터 547 일,업무시설,"4,991.11 ㎡","11,865,987,272 원","2,377,425 원/㎡",
금강유역환경청 청사 신축사업,철근콘크리트조 지하 1층~지상 4층.,"9,162.06㎡","9,927.9㎡","2,543.59㎡",0㎡,25.62%,92.29%,3.9m,18.9m,132대,대전광역시 유성구,2017.11,착공일로부터 660 일,공공업무시설,"9,162.06 ㎡","17,486,637,219 원","1,908,592 원/㎡",
통일문화센터 시설공사,철근콘크리트조 지하 2층~지상 7층.,"8,058.32㎡","2,000㎡",982.88㎡,337.36㎡,49.14%,276.68%,3.9m,30.98m,40대,서울특별시 강서구,2017.11,착공일로부터 600 일,공공업무시설,"8,058.32 ㎡","17,254,351,054 원","2,141,185 원/㎡",
