영업중,인허가일자_년도,인허가일자_월,인허가일자_일,지역,영업상태구분코드,상세영업상태코드,시설면적,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부
1, 1994, 03, 19,광주광역시 동구,1,13,83.05,6,4,N,N,N,N,N,N
1, 1994, 06, 13,광주광역시 동구,1,13,214.87,6,6,N,N,N,Y,N,N
1, 1994, 11, 24,광주광역시 동구,1,13,198.15,9,4,N,N,N,N,N,N
1, 1998, 11, 18,광주광역시 동구,1,13,198.34,10,4,N,N,N,Y,N,N
1, 2002, 12, 17,광주광역시 동구,1,13,101.82,10,4,N,N,N,N,N,N
1, 2016, 11, 28,광주광역시 동구,1,13,182.56,20,20,Y,Y,Y,Y,N,Y
1, 2010, 03, 26,광주광역시 동구,1,13,145.08,6,4,N,Y,N,N,N,N
1, 2011, 03, 03,광주광역시 동구,1,13,280.58,13,8,N,N,N,Y,N,N
1, 2012, 06, 26,광주광역시 동구,1,13,276.51,13,10,N,N,N,Y,N,N
1, 2012, 09, 04,광주광역시 동구,1,13,140.29,8,2,N,N,N,Y,N,N
1, 2014, 06, 27,광주광역시 동구,1,13,327.61,18,18,N,Y,N,Y,N,Y
1, 2014, 08, 29,광주광역시 동구,1,13,350.77,18,18,N,N,N,Y,N,N
1, 2017, 02, 08,광주광역시 동구,1,13,33.0,5,5,Y,Y,N,Y,N,N
1, 2017, 05, 23,광주광역시 동구,1,13,228.46,28,4,N,N,N,Y,N,N
1, 2017, 06, 05,광주광역시 동구,1,13,89.15,9,4,N,N,N,Y,N,N
1, 2018, 02, 12,광주광역시 동구,1,13,113.05,10,2,N,Y,N,Y,N,N
1, 1998, 08, 18,광주광역시 동구,1,13,167.0,6,0,N,N,N,N,N,N
1, 1999, 07, 02,광주광역시 동구,1,13,131.78,5,2,N,N,N,N,N,N
1, 2004, 03, 23,광주광역시 동구,1,13,198.0,6,0,N,N,N,N,N,N
1, 2004, 03, 26,광주광역시 동구,1,13,215.74,10,4,N,N,N,N,N,N
1, 2004, 04, 08,광주광역시 동구,1,13,110.0,4,4,N,N,N,Y,N,N
1, 2004, 10, 16,광주광역시 동구,1,13,223.9,10,4,N,N,N,N,N,N
